Action Stock Horse Foal,Model Number,Name,Color,Release Dates,Released Through/Notes
Sham,,Bright Buckskin Pinto,"buckskin pinto, blaze, shaded muzzle, dorsal 
	stripe, black points, hind stockings",2001,BreyerFestLive Auction(1 made)With Certificate of Authenticity.
Sham,,"Sham #410, Unpainted Resin",unpainted,2006,BreyerFestSilent Auction
Sham,,Sham,blue and gold test for Pharaoh #711058,2008,BreyerFestLive Auction(1 made)
Sham,,High gloss metallic dapple grey sabino,"glossy metallic dapple grey sabino, blaze 
	down over muzzle, pink shaded nose, black points with white bottom to tail, 
	hind stockings, fore socks",2012,"BreyerFestLive 
	Auction(1 made)"
Sham,,Glossy Dappled Chestnut on the Sham Mold,"glossy dappled chestnut, star, snip, flaxen 
	mane/tail, off hind sock",2013,"BreyerFestLive 
	Auction(1 made)"
Sham,,Glossy Mahogany Dapple Bay,glossy dappled mahogany bay,2018,"BreyerFestLive Auction(1 made)With Certificate of 
	Authenticity"
Sham,,Sham,"red bay, solid face, black points, four socks, 
	black hooves",unknown,Test Run - from Marney Walerius' collection
Sham,,Sham,"red bay, solid face, black points, four socks, 
	natural hooves",unknown,Test Run - from Marney Walerius' collection
Henry,482,Henry,"reddish-yellow dun, no white markings, black or bi-color eyes, pale dun mane/tail, dark dorsal stripe, primitive leg bars on knees, hocks, and fetlocks",1996-2004,
Henry,482,Henry,,,"With hang tag. ""JEH"" mold stamp shown."
Henry,482,Henry,"reddish-yellow dun, no white markings, black or bi-color eyes, pale dun mane/tail, dark dorsal stripe, primitive leg bars on knees, hocks, and fetlocks",2010,World Equestrian GamesReissue(18 made)
Henry,1710,GVF Sjokolade,"dun, solid face, dark brown fetlock and legs, flaxen and dark brown mane/tail, dorsal stripe, primitive leg barring",2014-2015,
Henry,700100,Silver Wolfe,"silver grullo, dark grey points, dorsal stripe, four stockings",2000,Breyer Spring Show SpecialWith Certificate of Authenticity
Henry,7000100,Silver Wolfe,,,Showing Certificate of Authenticity
Henry,711445,Truffles,"dappled palomino tobiano, pink nose, black lip, tricolor eyes, white mane/tail",2015,BreyerFestDiorama Contest Prize(28 made)With Certificate of Authenticity.
Henry,712335,Goji,bay varnish roan blanket,2020,"Berries Poniesweb special(350 made)Stamped ""Goji 2019"" on belly."
Henry,712518,Tinsel - Pony Snow Day Set,silver dun,2023,Holiday HorseWeb Special
Henry,,Dunny Bay Fjord,"shaded dun bay, black points, shaded muzzle",1996,BreyerFestLive Auction(1 made)
Henry,,Naughty,"semi-gloss midnight blue, silver shadings and snowflakes, bald face, pink nose, eye whites, blue-to-white mane/tail",2001,"Just About Horses(1,500 made)With Certificate of Authenticity."
Henry,,Nice,"semi-gloss white pearl, silver blue shading and snowflakes, blue-grey fetlock and legs, blue and white pearl mane/tail",2001,"Just About Horses(1,500 made)With Certificate of Authenticity."
Henry,,Shaded White/Grey Fjord,"light grey, grey mane, shaded grey tail, three stockings, not off hind",2002,BreyerFestSilent Auction(1 made)
Sherman Morgan,430,"Sherman Morgan, Son of Justin Morgan","red chestnut, low blaze, slightly darker chestnut mane/tail, off hind stocking",1987-1990,"Artist SeriesWith small ""Artist Series"" brochure.Some also with hind sock(s)."
Sherman Morgan,835,Prancing Morgan,"black, blaze, black mane/tail, near hind and fore stockings, grey hooves",1991-1992,
Sherman Morgan,1105,Carpe Diem - Millennium Horse,golden blue,2000,
Sherman Morgan,1133,Gen. Philip Sheridan's Winchester,"semigloss black, black mane/tail, near fore sock, near hind and off fore stockings, near fore sock, tan hooves",2001-2002,
Sherman Morgan,1257,Justin MorganWith paperbackJustin Morgan Had a Horse,red bay,2005-2007,
Sherman Morgan,1257,Justin MorganWith paperbackJustin Morgan Had a Horse,glossy red bay,2006,BreyerFestLive Show Prize(28 made)
Sherman Morgan,1425,Baxter - Morgan,grey,2009-2011,My Favorite Horsesseries
Sherman Morgan,90133,Joker's Wild- Ace of Spades,"shaded metallic gold, white points, ""A"" and spade on hip",2005,Connoisseur Series- Random Draw(100 made)With Certificate of Authenticity
Sherman Morgan,90133,Joker's Wild - King of Diamonds,"shaded metallic gold, white points, ""K"" and diamond on hip",2005,Connoisseur Series- Random Draw(100 made)With Certificate of Authenticity
Sherman Morgan,90133,Joker's Wild - Queen of Hearts,"shaded metallic gold, white points, ""Q"" and heart on hip",2005,Connoisseur Series- Random Draw(100 made)With Certificate of Authenticity
Sherman Morgan,90133,Joker's Wild - Jack of Clubs,"shaded metallic gold, white points, ""J"" and club on hip",2005,Connoisseur Series- Random Draw(100 made)With Certificate of Authenticity
Sherman Morgan,90133,Joker's Wild - Joker,"shaded metallic gold, white points, red and gold ""$"" and ""Joker"" on hip",2005,Connoisseur Series- Random Draw(2 made)With Certificate of Authenticity
Sherman Morgan,400192,Pride and Vanity,"alabaster, mane streaked with pale grey, lower part of tail pale grey, grey-shaded nose, eyes, knees and hocks",1992,"Just About HorsesSpecial Collector's Offer(1,500 made)Came with numbered Certificate of Authenticity. Most have ""JAH 1992"" hand written on belly."
Sherman Morgan,498092,Fashionably Late,"matte and semigloss chocolate sorrel, solid face, flaxen mane/tail and lower legs,",1992,"SearsHoliday Catalog(1,000 made)Cold cast porcelain, hand numbered on belly. With Certificate of Authenticity."
Sherman Morgan,501302,Justin Morgan,"glossy shaded bay, black points",2002,QVCWith Certificate of Authenticity
Sherman Morgan,711045,Sherwood,"light metallic bay tobiano, black points, white in mane, off hind sock",2005,BreyerFestSpecial Run(750 made)With Certificate of Authenticity.
Sherman Morgan,711125,Best Supporting Actor,"glossy palomino, snip, darker muzzle and lower legs, hind socks",2010,BreyerFestOpen Live Show Reserve Grand Prize Model(9 made)
Sherman Morgan,711179,Celebration,"glossy silver filigree, pink nose, white points",2014,"BreyerFestSpecial Run(1,675 made)""BreyerFest 2014"" stamped on belly"
Sherman Morgan,711179,Celebration,"glossy silver charm, pink nose, white points",2014,"BreyerFestSpecial Run(25 made)""BreyerFest 2014"" stamped on belly"
Sherman Morgan,711494,Prisma,clear crystal,2021,"BreyerFestLimited Edition(2,000 made)5"" in height"
Sherman Morgan,712022,Autumn,"glossy liver chestnut, flaxen mane/tail, snip, shaded muzzle and lower legs",2009,Fall 2009 Retailer Special
Sherman Morgan,712122,Crescent City,"glossy blue overo, black points, bear fore and off hind socks, near hind stockings",2014,"Big Easy BashSpecial Run(48 made)Stamped ""Limited Edition 2014"" on belly."
Sherman Morgan,712207,Gold,"glossy dappled gold, white points",2016,"Web Special(350 made of each color)Stamped ""Happy Holidays 2016"" on belly."
Sherman Morgan,712207,Frankincense,"glossy dappled green, white points",2016,"Web Special(350 made)Stamped ""Happy Holidays 2016"" on belly."
Sherman Morgan,712207,Myrrh,"glossy dappled red, white points",2016,"Web Special(350 made)Stamped ""Happy Holidays 2016"" on belly."
Sherman Morgan,,Blood Bay,blood bay,1997,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Sherman Morgan,,Metallic Palomino,metallic palomino,1999,BreyerFestLive Auction(1 made)
Sherman Morgan,,Sherman Morgan,flat matte black,~2000-2001,Probable Test ModelPossibly a test for #1133.
Sherman Morgan,,"""Seize the Night"" Carpe Noctis","multicolored, flaxen mane, white tail, four light blue stockings",2001,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Sherman Morgan,,DunSherman Morgan,"dun, white muzzle, dun and chestnut mane/tail, primitive leg barring, three stockings, not off hind",2004,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Sherman Morgan,,Reyo,"glossy dappled buckskin, shaded muzzle, black points, four socks",2004,BreyerFestEarly Bird Drawing(1 made)
Sherman Morgan,,"""Royal Flush"" Variation of ""Joker's Wild""",gold decorator with royal flush cards,2005,BreyerFestLive Auction(1 made)
Sherman Morgan,,Line Backed Smutty Palomino with Primitive Markings,line backed smutty palomino with primitive markings,2006,BreyerFestLive Auction(1 made)
Sherman Morgan,,Magenta and Color Change,"glossy color change magenta, black points",2007,BreyerFestLive Auction(1 made)
Sherman Morgan,,Glossy Dappled GrayShermanMorgan with mapping,"glossy dapple grey, snip, light and dark grey mane/tail, four stockings",2008,BreyerFestLive Auction(1 made)
Sherman Morgan,,Bay Rabicano Pinto Sherman Morgan,"bay rabicano, black mane, back and white tail",2012,BreyerFestLive Auction(1 made)
Sherman Morgan,,Dappled Sooty Palomino Sherman Morgan,"dappled sooty palomino, bald face, pink nose, flaxen mane, flaxen and sooty palomino tail, off fore coronet, hind stockings",2013,BreyerFestLive Auction(1 made)
Sherman Morgan,,"Mold 430, Glossy Chalky Copper Chestnut Splash Pinto",glossy copper chestnut pinto,2020,BreyerFestLive Auction(1 made)
Sherman Morgan,,Dapple Gray,"dapple gray, white face marking and four socks",2022,BreyerFestLive Auction(1 made)
Flash,594,Flash,"bay, small star, black points, hind pasterns",2004-2007,
Flash,1312,Starlight,"buckskin, shaded muzzle, dark brown points",2007-2008,"""Prancer, Belle and Starlight are the equine stars of The Saddle Club™ television series, based on the books written by Bonnie Bryant."""
Flash,1362,"Fun with Model Horses Gift SetWith halter, booklet",dappled grey,2009-2010,My Favorite Horsesseries
Flash,1362,Fun with Model Horses Gift SetVariation shown,dappled grey with lighter face,2009-2010,My Favorite Horsesseries
Flash,1443,Little Texas,chestnut,2011-2012,
Flash,1784,Cobra,"dark bay, black points, four socks, freeze brands",2017-2018,
Flash,1784/8224,Glossy Cobra,"glossy dark bay, black points, four socks, freeze brands",2018,Web Special(~110 made)
Flash,1826,Avatar's JazzmanWith blanket,"chestnut, lighter mane/tail, hind stockings",2020-present,
Flash,90132,Reverse Polarity,silver chestnut with reverse dappling,2005,Connoisseur Model(350 made)With Certificate of Authenticity
Flash,300305,Riderless,"grullo, star, strip, shaded muzzle, dark brown mane/tail and lower legs, off fore pastern",2005,"Tractor Supply Company(3,000 made)Hand numbered on belly"
Flash,301192,ApplegateWith FFA Blanket,bay,2023,Tractor Supply CompanyFFA Benefit ModelFFA stamped in gold on belly
Flash,410165,Pony Club Two Piece SetWith rider.,black bay,2005,JCPenneyHoliday CatalogSame as #594
Flash,711145,Stoneleigh Surprise,matte bay pinto,2012,"BreyerFestGambler's Choice Special Run(364 matte made)""BreyerFest 2012"" stamped on belly"
Flash,711145,Stoneleigh Surprise,glossy bay pinto,2012,"BreyerFestGambler's Choice Special Run(54 glossy made)""BreyerFest 2012"" stamped on belly"
Flash,711145,Stoneleigh Surprise,matte silver dapple bay,2012,"BreyerFestGambler's Choice Special Run(336 matte made)""BreyerFest 2012"" stamped on belly"
Flash,711145,Stoneleigh Surprise,glossy silver dapple bay,2012,"BreyerFestGambler's Choice Special Run(56 glossy made)""BreyerFest 2012"" stamped on belly"
Flash,711145,Stoneleigh Surprise,matte mouse dun,2012,"BreyerFestGambler's Choice Special Run(336 matte made)""BreyerFest 2012"" stamped on belly"
Flash,711145,Stoneleigh Surprise,glossy mouse dun,2012,"BreyerFestGambler's Choice Special Run(56 glossy made)""BreyerFest 2012"" stamped on belly"
Flash,711145,Stoneleigh Surprise,matte black leopard,2012,"BreyerFestGambler's Choice Special Run(84 matte made)""BreyerFest 2012"" stamped on belly"
Flash,711145,Stoneleigh Surprise,glossy black leopard,2012,"BreyerFestGambler's Choice Special Run(56 glossy made)""BreyerFest 2012"" stamped on belly"
Flash,711283,Newmarket,blue and white diamond pattern,2018,"BreyerFestSpecial Run(800 made)""BreyerFest 2018"" stamped on belly"
Flash,711387,BenNevis,flaxen liver chestnut tobiano,2020,"BreyerFestVolunteer ModelStamped ""BreyerFest 2020"" on belly."
Flash,711387,Ben Nevis,bright chestnut tobiano,2020,"BreyerFestVolunteer ModelStamped ""BreyerFest 2020"" on belly."
Flash,711459,GermanChocolate,bay blanket,2009,"BreyerFestLive Auction, Reserve Grand Champion Live Show Prize(9 made)"
Flash,711518,Chardonnay,chestnut w/ blaze and sabino,2022,"BreyerFestStore Special(3,000 made)""BreyerFest 2022"" stamped on belly"
Flash,711518G,Chardonnay,glossy chestnut w/ blaze and sabino,2023,BreyerWest
Flash,712019,BallyLee,glossy copper chestnut,2009,Web Special(350 made)With Certificate of Authenticity
Flash,712166,Holly,"glossy dappled red decorator, bald face, white points",2015,"Collector ClubHolidayWeb Special(350 each made)""Happy Holidays 2015"" stamped on belly. Breyer ad and packing slip list number as 712202."
Flash,712167,Ivy,"glossy dappled green decorator, bald face, white points",2015,"Collector ClubHolidayWeb Special(350 each made)""Happy Holidays 2015"" stamped on belly.  Breyer ad and packing slip list number as 712202."
Flash,712176,JuniperThird in theBerries Ponies series,"blue roan lacey blanket, irregular star, snip, black points with white at top of tail, off fore sock",2016,"Web Special(350 made)Stamped ""Juniper 2016"" on belly."
Flash,712418,Midas,chestnut splash pinto w/ blue eyes,2021,"Web Special(250 made)Stamped ""Breyer Special Edition"" on belly."
Flash,,Smutty Palomino Appaloosa,smutty palomino blanket,2004,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Flash,,Red Bay Pinto,red bay pinto,2005,BreyerFestEarly Bird Raffle(1 made)
Flash,,Chestnut Roan Flash #594,chestnut roan,2005,BreyerFestLive Auction(1 made)
Flash,,Dapple Bay Roan,"dapple bay roan, black points",2006,BreyerFestLive Auction(1 made)
Flash,,DulceDe Leche,palomino tovero,2006,"BreyerWest, Breyer Tour Events(500 made)""2006 Breyer Tour Limited Edition"" stamped on belly in gold. With velvet bag and Certificate of Authenticity."
Flash,,GlossyDulceDe Leche,glossy palomino tovero,2007,BreyerWestRaffle Model(1 made)
Flash,,Buckskin Overo,buckskin overo,2007,BreyerFestLive Auction(1 made)
Flash,,Chalky Dappled Grey Flash,chalky dappled grey,2013,BreyerFestLive Auction(1 made)
Flash,,"Flaxen Chestnut Minimal Sabino with Badger Face on mold 594, Flash",flaxen chestnut sabino,2014,BreyerFestLive Auction(1 made)
Flash,,Dark Dapple Grey on Mold No. 594,dark dapple grey,2016,BreyerFestLive Auction(1 made)
Flash,,Semi-leopard Appaloosa Flash (mold #594),grey semi-leopard,2017,BreyerFestLive Auction(1 made)
Flash,,Sooty Dapple Buckskin Overo Pinto with a Connemara Mare Tail,sooty dapple buckskin overo,2018,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Shetland Pony (Traditional series),21,Shetland Pony,"glossy, semi-glossy, or matte black tobiano, bald face, white mane, black tail with white tip, four stockings","1960-1973, 1976",
Shetland Pony (Traditional series),22,Shetland Pony,"glossy, semi-glossy, or matte palomino tobiano, bald face, white mane, palomino and white tail, four stockings","1960-1973, 1976",Body color varies from pale honey palomino to peachy or orangey tan to  caramel to medium brown chestnut.
Shetland Pony (Traditional series),,Shetland Pony,"glossy, semi-glossy, or matte palomino tobiano, bald face, white mane, palomino and white tail, four stockings","1960-1973, 1976",Color variations shown.
Shetland Pony (Traditional series),23,Shetland Pony,"bay, bald face, black points",1973-1988,
Shetland Pony (Traditional series),23,Shetland Pony,"bay, solid face, black points",1973-1988,Apparent color variation.
Shetland Pony (Traditional series),25,Shetland Pony,"glossy or matte alabaster, grey mane and tail",1960-1972,Early models glossy.Shown with original blue ribbon sticker
Shetland Pony (Traditional series),123,Shetland Pony,"bay, bald face, black points",late 1970s,Same as #23Came in blister-wrapped display box.
Shetland Pony (Traditional series),741,Shetland Pony,"shaded rose grey, blaze, shaded muzzle, white mane/tail, four stockings",1998-1999,
Shetland Pony (Traditional series),801,Shetland Pony,"bay tobiano, blaze, pink nose, black mane/tail",1989-1991,
Shetland Pony (Traditional series),857,Shetland Pony,"slightly semigloss dark red chestnut, blaze, flaxen mane/tail, near fore and hind stockings",1992-1994,
Shetland Pony (Traditional series),925,Shetland Pony,"woodgrain, black eyes, no white markings",1960-1964,
Shetland Pony (Traditional series),944,"Pine, Shetland Pony","palomino, blaze, tricolor eyes, white points",1996-1997,
Shetland Pony (Traditional series),1120,Liberty,"light chocolate dapple, lighter head, white mane/tail, four pasterns",2000-2001,
Shetland Pony (Traditional series),1427,"Trick or Treat Play SetWith doll, broom, trick or treat bucket, ghost costume","blue roan sabino, bald face, black mane/tail and knees, grey at top of tail, fore socks, hind stockings",2010,Halloween Series
Shetland Pony (Traditional series),1486,Shetland Pony,"grey, black points, four socks",2012-2013,
Shetland Pony (Traditional series),1486G,Glossy Shetland Pony,"glossy grey, black points, four socks",2012,BreyerFestChild & Youth Show(18 made)Other (~12 made)BreyerFest prize came with Certificate of Authenticity.
Shetland Pony (Traditional series),3066,"Marguerite Henry's Our First Pony Gift SetWithArabian Foal,Mustang Foal, tan or brown halter and lead","black tobiano, blaze, white mane, black tail with white tip, four stockings, pink hooves",1987-1996,
Shetland Pony (Traditional series),9168,Shetland Pony,"chestnut tobiano, blaze, snip, light flaxen mane/tail, four stockings",2015-2016,Best of Britishseries
Shetland Pony (Traditional series),701695,"Our First Pony Gift Set by Marguerite HenryWithArabian Foal,Mustang Foal, tan or brown halter and lead","black tobiano, blaze, white mane, black tail with white tip, four stockings, pink hooves",1995,QVC(600 sets)Same as #3066
Shetland Pony (Traditional series),711263,Dally andSpankyWithJack Russell Terrier,"bay, black points, shaved ""S"" on off hip",2017,BreyerFestStore Special(750 made)
Shetland Pony (Traditional series),712093,Denim and Diamonds,"Copenhagen, white points",2013,"Vintage Collectors Club(500 sets made)With numbered Certificate of Authenticity booklet. ""Vintage Collectors Club"" stamped on belly."
Shetland Pony (Traditional series),712093,Denim and Diamonds,"Florentine, white points",2013,"Vintage Collectors Club(500 sets made)With numbered Certificate of Authenticity. ""Vintage Collectors Club"" stamped on belly."
Shetland Pony (Traditional series),712516,MittensWith Holiday Blanket,pearly mushroom tobiano,2023,Holiday HorseWeb Special
Shetland Pony (Traditional series),760998,"Pony Fun Gift SetWithCantering Welsh Pony,Haflinger","dappled light grey, shaded muzzle, light grey mane/tail, shaded knees, four stockings",1998,SearsHoliday Catalog
Shetland Pony (Traditional series),,Shetland Pony,"glossy grey blanket, bald face, black points",early 1960s,"Test Run or very small Special RunHas the round ""Breyer Molding Co."" stamp on its' belly and a ""CHess"" stamp inside the right thigh."
Shetland Pony (Traditional series),,Our First PonyWith leather halter and lead and Marguerite Henry's bookOur First Pony,"black tobiano, blaze, white mane, black tail with white tip, four stockings, grey-brown hooves",1984-1985,SearsHoliday Catalog
Shetland Pony (Traditional series),,Shetland Pony,chestnut,1985,Model Horse CongressPossible small run of 20-30; existence not verified.
Shetland Pony (Traditional series),,Test Color Dun Shetland Pony,dun,1993,BreyerFestLive Auction(1 made)
Shetland Pony (Traditional series),,Test Color Lilac Dun Shetland Pony,lilac dun,1993,BreyerFestLive Auction(1 made)
Shetland Pony (Traditional series),,Raven Black with Pinto Marking,"black, off hind sock",1994,BreyerFestLive Auction(1 made)
Shetland Pony (Traditional series),,Red Leopard Shetland Pony #23,red leopard,1994,BreyerFestLive Auction(1 made)
Shetland Pony (Traditional series),,Dark Dapple Grey Shetland Pony,dark dapple grey,1995,BreyerFestLive Auction(1 made)
Shetland Pony (Traditional series),,Buckskin Pinto,buckskin pinto,1998,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Shetland Pony (Traditional series),,Palomino Blanket Appaloosa,"palomino blanket, pink nose, shaded muzzle, white mane/tail",1999,BreyerFestLive Auction(1 made)
Shetland Pony (Traditional series),,Seal Bay Splash Pinto Shetland Pony with Blue Eyes,"seal bay tobiano, bald face, blue eyes",2000,BreyerFestLive Auction(1 made)
Shetland Pony (Traditional series),,Yellow Dun Appaloosa Pony,yellow dun Appaloosa,2010,BreyerFestLive Auction(1 made)
Shetland Pony (Traditional series),,"Mold 25, Glossy Silver Dapple Bay Tobiano Pinto",glossy silver bay tobiano,2020,BreyerFest Live Auction(1 made)
Foundation Stallion,64,Black Foundation Stallion,"black, black mane/tail",1977-1987,"Early models have brown hooves, later models 
	have black ones"
Foundation Stallion,64,Black Foundation Stallion,"black, black mane/tail, black hooves",1977-1987,"Early models have brown hooves, later models 
	have black ones"
Foundation Stallion,64W,Foundation Stallion,"alabaster, very light grey shading",1985,"Horses International, mail order companies(700 made)"
Foundation Stallion,85,Azteca,"semigloss dapple grey, bald or pale grey 
	face, four stockings, mane/knees/hocks vary 
	from dark grey to black",1980-1987,"Dark grey mane, white/light grey tail"
Foundation Stallion,85,Azteca,"semigloss dapple grey, bald or pale grey 
	face, four stockings, mane/knees/hocks vary 
	from dark grey to black",1980-1987,"Light grey mane, white/light grey tail"
Foundation Stallion,85,Azteca,"semigloss dapple grey, bald or pale grey 
	face, four stockings, mane/knees/hocks vary 
	from dark grey to black",1980-1987,Solid grey mane/tail (later models)
Foundation Stallion,85,Azteca,"matte wild dapple grey, bald face, light 
	dapples on neck, none on head, solid grey mane/tail, shaded knees, four 
	stockings",~1985-1987,
Foundation Stallion,710,American Indian Pony,"red roan, chestnut mane/tail, grey shaded 
	joints",1988-1991,
Foundation Stallion,869,Lakota Pony - War Party Leader,"white with cream shading, red rectangle on 
	left side of neck",1992,With hang tag
Foundation Stallion,869,Lakota Pony - Coup,"white with cream shading, blue and white 
	shading on chest and rump, bars on face above nose",1992,With hang tag
Foundation Stallion,869,Lakota Pony - Coup,"white with cream shading, blue and white 
	shading on chest and rump, bars on face above nose",1992,With hang tagVariation with no spots on hindquarters.
Foundation Stallion,869,Lakota Pony - Medicine,"white with cream shading, blue and white 
	shading on chest and rump, red ""key"" above left shoulder",1992,With hang tag
Foundation Stallion,869,Lakota Pony - Horse taken in raid,"white with cream shading, two dark blue 
	""staples"" on left rump",1992,With hang tag
Foundation Stallion,870,Fugir Cacador - Lusitano Stallion,"light buckskin, solid face, grey facial 
	shading and dorsal stripe, black points",1993,Limited Edition
Foundation Stallion,967,Appaloosa Champion,"chestnut varnish roan semi-leopard, blaze 
	down onto left cheek, black or bi-color eyes, chestnut mane/tail, grey and 
	chestnut shading on knees, hocks, and fetlocks",1996-1997,
Foundation Stallion,1110,General Stonewall Jackson's Little Sorrel,sorrel,2000-2001,
Foundation Stallion,1181,Toreo - Azteca,"copper chestnut, front stockings, shaded 
	muzzle",2007,My Favorite HorsesseriesWith trading card
Foundation Stallion,1280,Capella - Abaco Barb,"bay pinto, black mane, bi-colored tail, bald 
	face, pink muzzle, blue bi-colored eyes",2005,BenefitLimited Edition
Foundation Stallion,1317,Black BeautyWith a paperback version of Anna Sewell�s novelBlack Beauty.,"black, black mane/tail, off fore stocking",2008-2009,
Foundation Stallion,1410,"Let's Go Riding - WesternWith Western saddle set with bridle, 8"" articulated rider in 
	Western riding outfit and cowboy hat.","buckskin, black points, rear stockings, 
	shaded muzzle",2014-2017,"Let's Go RidingseriesAlso sold in #712983, Ultimate Gift Set"
Foundation Stallion,701096,Rusty Diamond,"dusky chestnut-dun, dorsal stripe, dark chestnut 
	dun mane/tail and dorsal stripe dark shaded knees, hocks, and fetlocks, no 
	white markings",1996,"Mid-States Distributing(5,740 made)"
Foundation Stallion,701718,ThunderboltGrey Appaloosa,"dapple grey,
	red Indian paint on right shoulder, black on left hip",2010,"Mid-States Distributing(2,900 made)Hand numbered on belly"
Foundation Stallion,705096,Titan Glory,"reddish bay, low blaze covering most of 
	muzzle. black points, front near stocking, two hind stockings",1996,"Toys 'R' Us(4,000 made)Medallion 
	Series"
Foundation Stallion,710493,"Wild Horses of America SetWithFighting Stallion,Mustang","bay blanket, solid face black points, off hind stocking,",1993,"JCPenneyHoliday Catalog(~1,500 made)"
Foundation Stallion,710804,El Viajero,"dun, dorsal stripe, darker points, broken 
	strip and snip, off side socks",2004,"BreyerFestTent Special(500 made)With Certificate of 
	Authenticity"
Foundation Stallion,712073,Glossy War HorseWith book,"glossy bay, elongated star, black points, four stockings",2012,Holiday Giveaway(100 made)
Foundation Stallion,712074,Buried Treasure - Lusitano,"buckskin, black points, star, pink snip, near 
	foreleg stocking, off hind leg stocking,",2012,"Collector 
	Club ExclusiveWeb Special(62 made)"
Foundation Stallion,712372,Nonoma,"grullo pinto with three different sets of 
	war paint or no war paint at all",2021,Vintage Club(500 made)
Foundation Stallion,712848,"Traditional Western Horse Collector SetWithAdios,San Domingo","semigloss liver charcoal, solid upper face, 
	white and pink nose, reddish, cream flaxen or white mane/tail, four 
	stockings",1987,"JCPenneyHoliday Catalog(3,800 made)"
Foundation Stallion,,Foundation Stallion,unpainted white,1980,"Just About 
	HorsesVII/#3"
Foundation Stallion,,Foundation Stallion,"bay, black points, fore stockings",late 1980s,Probable test run
Foundation Stallion,,PalominoHorse and Foal SetWithStanding Stock Horse Foal,"palomino, bald face, white points, pink nose",1983,"Montgomery Ward,Bentley Sales"
Foundation Stallion,,Foundation Stallion,"red chestnut, mane/tail same color or 
	slightly darker",1984,"Factory test, from Marney Walerius 
	collection"
Foundation Stallion,,Test Color Blood Bay Foundation Stallion,blood bay,1993,BreyerFestLive Auction(1 made)
Foundation Stallion,,Light Grey,light grey,1994,BreyerFestLive Auction(1 made)
Foundation Stallion,,Mouse Grey/Brown,"mouse grey/brown, black points, hind and off 
	fore stockings",1996,BreyerFestLive Auction(1 made)
Foundation Stallion,,Foundation Stallion,"red chestnut, four stockings",?,Probable test piece
Shire,95,Shire,"matte and slightly semigloss dapple grey, bald face, grey nose and ears, darker grey mane/tail, dorsal stripe, dark grey knees and hocks, white feathers","1972-1973,1975-1976",Bald face can be vague and oversprayed.
Shire,95,Shire,"glossy dappled grey, bald face, grey nose and ears, darker grey mane/tail, dorsal stripe, dark grey knees and hocks, white feathers",Between 1972-76?,"Six known to exist, some or all of which may be chalky."
Shire,96,Shire,"matte and semigloss honey sorrel, bald face, darker chestnut or charcoal mane/tail, white feathers","1972-1976,1978-1980","1972-76 and 1978 have stenciled blaze, 1979-80 do not."
Shire,96,Shire,"matte and semigloss honey sorrel, bald face, darker chestnut or charcoal mane/tail, white feathers","1972-1976,1978-1980",Color variation shown.
Shire,96,Shire,"matte and semigloss honey sorrel, bald face, darker chestnut or charcoal mane/tail, white feathers","1972-1976,1978-1980",Chalky
Shire,739,Shire,"shaded light bay, solid face, shaded muzzle, black points, tan hooves",1998-1999,
Shire,1210,Monarch,"glossy light bay, shaded muzzle, black mane/tail, white feathers",Jan-Jun 2003,Collectors' EditionWith blue ribbon sticker
Shire,1218,Smoke 'N Mirrors,"smoke grey, bald/light colored face, white mane/tail, white feathers",Jul-Dec 2003,"Collectors' EditionWith blue ribbon sticker, small booklet"
Shire,430008,Shire Mare,"shaded light bay, solid face, shaded muzzle, black points, black hooves",2013-current,Warehouse FindVery similar to #739
Shire,491097,True Black English Shire,"matte or semigloss black, bald face, black mane/tail, white feathers, tan hooves",1997,"SearsHoliday Catalog(~2,050-2,400 made)"
Shire,497092,"Drafters SetWithBelgian,Roy","dark palomino, stripe, grey-shaded muzzle, white mane/tail, white feathers",1992,"SearsHoliday Catalog(2,250 made)"
Shire,711146,Cheerio,"glossy bay tobiano, bald face, black and white mane/tail, black knees, four high stockings",2012,"BreyerFestSpecial Run(1,000 made)""BreyerFest 2012"" stamped on belly"
Shire,712195,Testudo,"liver chestnut (?), four high stockings",2016,"Chasing the ChesapeakeSpecial Run(50 made)""Breyer 2016 Limited Edition"" stamped on belly."
Shire,712282,Bernadette,"Florentine, white points",2019,"Vintage Club(125 made each color)Stamped ""2019 Vintage Collectors Club"" on belly"
Shire,712282,Bernadette,"Gold Charm, white points",2019,"Vintage Club(125 made each color)Stamped ""2019 Vintage Collectors Club"" on belly"
Shire,712282,Bernadette,Copenhagen,2019,"Vintage Club(125 made each color)Stamped ""2019 Vintage Collectors Club"" on belly"
Shire,712282,Bernadette,Wedgewood,2019,"Vintage Club(125 made each color)Stamped ""2019 Vintage Collectors Club"" on belly"
Shire,,ShireWithBelgian,"semigloss dapple grey, bald face, pink-grey nose and ears, darker grey mane/tail, no dorsal stripe, dark grey knees and hocks, white feathers",1982-1983,Montgomery WardHoliday Catalog
Shire,,Shire,"slightly semigloss reddish bay, bald face, black points, white feathers",1985,Riegseckers(300 made)Sold in set with four other Riegseckers
